Description,Company ID,Location,Account,Department,Project,Project Name
Community Benefit,75972,FRNK,,,FRNK25G009,Community Benefit
NERC Compliance,75972,FRNK,,,FRNK25G010,NERC Compliance
Environmental Compliance,75972,FRNK,,,FRNK25G011,Environmental Compliance
Facilities,75972,FRNK,,,FRNK25G012,Facilities
Information Technology,75972,FRNK,,,FRNK25G013,IT
Light & Heat,75972,FRNK,,,FRNK25G014,Light & Heat
Interconnection Fees,75972,FRNK,,,FRNK25G015,Interconnection Fees
Waste Management,75972,FRNK,,,FRNK25G016,Waste Management
Site Security,75972,FRNK,,,FRNK25G017,Site Security
IT: Telecoms,75972,FRNK,,,FRNK25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75972,FRNK,,,FRNK25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75972,FRNK,,,FRNK25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75972,FRNK,,,FRNK25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75972,FRNK,,,FRNK25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75972,FRNK,,,FRNK25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75972,FRNK,,,FRNK25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75972,FRNK,,,FRNK25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75972,FRNK,,,FRNK25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75977,PISG,,,PISG25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75977,PISG,,,PISG25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75977,PISG,,,PISG25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75977,PISG,,,PISG25B004,BoP: Vegetation Management 
BoP: Civil BoP,75977,PISG,,,PISG25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75977,PISG,,,PISG25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75977,PISG,,,PISG25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75977,PISG,,,PISG25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75977,PISG,,,PISG25G007,Ops Support: Site Specific
Issuance Fee,75977,PISG,,,PISG25G008,Issuance Fee
Community Benefit,75977,PISG,,,PISG25G009,Community Benefit
NERC Compliance,75977,PISG,,,PISG25G010,NERC Compliance
Environmental Compliance,75977,PISG,,,PISG25G011,Environmental Compliance
Facilities,75977,PISG,,,PISG25G012,Facilities
Information Technology,75977,PISG,,,PISG25G013,IT
Light & Heat,75977,PISG,,,PISG25G014,Light & Heat
Interconnection Fees,75977,PISG,,,PISG25G015,Interconnection Fees
Waste Management,75977,PISG,,,PISG25G016,Waste Management
Site Security,75977,PISG,,,PISG25G017,Site Security
IT: Telecoms,75977,PISG,,,PISG25G018,IT: Telecoms
Refresh Study of Congestions and Curtailments,75977,PISG,,,PISG25HSOC,Refresh Study of Congestions
Inverter O&M: Preventative Mntce,75977,PISG,,,PISG25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75977,PISG,,,PISG25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75977,PISG,,,PISG25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75977,PISG,,,PISG25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75977,PISG,,,PISG25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75977,PISG,,,PISG25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75977,PISG,,,PISG25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75977,PISG,,,PISG25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75993,EBSL,,,EBSL25B001,BoP: Elec BoP: Corrective
BoP: Vegetation Management ,75993,EBSL,,,EBSL25B004,BoP: Vegetation Management 
BoP: Civil BoP,75993,EBSL,,,EBSL25B005,BoP: Civil BoP
Solar O&M: Minor Corrective,75993,EBSL,,,EBSL25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75993,EBSL,,,EBSL25G006,Preventative Mntce: Site 
Issuance Fee,75993,EBSL,,,EBSL25G008,Issuance Fee
Community Benefit,75993,EBSL,,,EBSL25G009,Community Benefit
Environmental Compliance,75993,EBSL,,,EBSL25G011,Environmental Compliance
Facilities,75993,EBSL,,,EBSL25G012,Facilities
Light & Heat,75993,EBSL,,,EBSL25G014,Light & Heat
Interconnection Fees,75993,EBSL,,,EBSL25G015,Interconnection Fees
Waste Management,75993,EBSL,,,EBSL25G016,Waste Management
Site Security,75993,EBSL,,,EBSL25G017,Site Security
Inverter O&M: Minor Corrective,75993,EBSL,,,EBSL25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75993,EBSL,,,EBSL25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75993,EBSL,,,EBSL25M007,Solar O&M: Major Corrective
Modules O&M: Minor Corrective,75993,EBSL,,,EBSL25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75993,EBSL,,,EBSL25P003,Modules O&M: Major Corrective
BoP: Elec BoP: Corrective,77002,BRRV,,,BRRV25B001,BoP: Elec BoP: Corrective
BoP: Met Mast/Met Station BoP,77002,BRRV,,,BRRV25B003,BoP: Met Mast/Met Station BoP
BoP: Civil BoP,77002,BRRV,,,BRRV25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,77002,BRRV,,,BRRV25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,77002,BRRV,,,BRRV25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,77002,BRRV,,,BRRV25G006,Preventative Mntce: Site 
Issuance Fee,77002,BRRV,,,BRRV25G008,Issuance Fee
Community Benefit,77002,BRRV,,,BRRV25G009,Community Benefit
NERC Compliance,77002,BRRV,,,BRRV25G010,NERC Compliance
Environmental Compliance,77002,BRRV,,,BRRV25G011,Environmental Compliance
Facilities,77002,BRRV,,,BRRV25G012,Facilities
Light & Heat,77002,BRRV,,,BRRV25G014,Light & Heat
Interconnection Fees,77002,BRRV,,,BRRV25G015,Interconnection Fees
Waste Management,77002,BRRV,,,BRRV25G016,Waste Management
Site Security,77002,BRRV,,,BRRV25G017,Site Security
Inverter O&M: Minor Corrective,77002,BRRV,,,BRRV25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,77002,BRRV,,,BRRV25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,77002,BRRV,,,BRRV25M007,Solar O&M: Major Corrective
Modules O&M: Minor Corrective,77002,BRRV,,,BRRV25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,77002,BRRV,,,BRRV25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,77002,BRRV,,,BRRV25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,77002,SPWY,,,SPWY25B001,BoP: Elec BoP: Corrective
BoP: Met Mast/Met Station BoP,77002,SPWY,,,SPWY25B003,BoP: Met Mast/Met Station BoP
BoP: Civil BoP,77002,SPWY,,,SPWY25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,77002,SPWY,,,SPWY25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,77002,SPWY,,,SPWY25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,77002,SPWY,,,SPWY25G006,Preventative Mntce: Site 
Issuance Fee,77002,SPWY,,,SPWY25G008,Issuance Fee
Community Benefit,77002,SPWY,,,SPWY25G009,Community Benefit
NERC Compliance,77002,SPWY,,,SPWY25G010,NERC Compliance
Environmental Compliance,77002,SPWY,,,SPWY25G011,Environmental Compliance
Facilities,77002,SPWY,,,SPWY25G012,Facilities
Light & Heat,77002,SPWY,,,SPWY25G014,Light & Heat
Interconnection Fees,77002,SPWY,,,SPWY25G015,Interconnection Fees
Waste Management,77002,SPWY,,,SPWY25G016,Waste Management
Site Security,77002,SPWY,,,SPWY25G017,Site Security
Inverter O&M: Minor Corrective,77002,SPWY,,,SPWY25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,77002,SPWY,,,SPWY25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,77002,SPWY,,,SPWY25M007,Solar O&M: Major Corrective
Modules O&M: Minor Corrective,77002,SPWY,,,SPWY25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,77002,SPWY,,,SPWY25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,77002,SPWY,,,SPWY25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,77002,STNY,,,STNY25B001,BoP: Elec BoP: Corrective
BoP: Civil BoP,77002,STNY,,,STNY25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,77002,STNY,,,STNY25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,77002,STNY,,,STNY25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,77002,STNY,,,STNY25G006,Preventative Mntce: Site 
Issuance Fee,77002,STNY,,,STNY25G008,Issuance Fee
Community Benefit,77002,STNY,,,STNY25G009,Community Benefit
Environmental Compliance,77002,STNY,,,STNY25G011,Environmental Compliance
Facilities,77002,STNY,,,STNY25G012,Facilities
Light & Heat,77002,STNY,,,STNY25G014,Light & Heat
Interconnection Fees,77002,STNY,,,STNY25G015,Interconnection Fees
Waste Management,77002,STNY,,,STNY25G016,Waste Management
Site Security,77002,STNY,,,STNY25G017,Site Security
Inverter O&M: Minor Corrective,77002,STNY,,,STNY25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,77002,STNY,,,STNY25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,77002,STNY,,,STNY25M007,Solar O&M: Major Corrective
Modules O&M: Minor Corrective,77002,STNY,,,STNY25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,77002,STNY,,,STNY25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,77002,STNY,,,STNY25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,77021,BKLM,,,BKLM25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,77021,BKLM,,,BKLM25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,77021,BKLM,,,BKLM25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,77021,BKLM,,,BKLM25B004,BoP: Vegetation Management 
BoP: Civil BoP,77021,BKLM,,,BKLM25B005,BoP: Civil BoP
Solar O&M: Minor Corrective,77021,BKLM,,,BKLM25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,77021,BKLM,,,BKLM25G006,Preventative Mntce: Site 
Issuance Fee,77021,BKLM,,,BKLM25G008,Issuance Fee
Community Benefit,77021,BKLM,,,BKLM25G009,Community Benefit
Environmental Compliance,77021,BKLM,,,BKLM25G011,Environmental Compliance
Facilities,77021,BKLM,,,BKLM25G012,Facilities
Light & Heat,77021,BKLM,,,BKLM25G014,Light & Heat
Interconnection Fees,77021,BKLM,,,BKLM25G015,Interconnection Fees
Waste Management,77021,BKLM,,,BKLM25G016,Waste Management
Site Security,77021,BKLM,,,BKLM25G017,Site Security
Inverter O&M: Minor Corrective,77021,BKLM,,,BKLM25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,77021,BKLM,,,BKLM25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,77021,BKLM,,,BKLM25M007,Solar O&M: Major Corrective
Modules O&M: Minor Corrective,77021,BKLM,,,BKLM25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,77021,BKLM,,,BKLM25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,77021,BKLM,,,BKLM25P004,Modules O&M: Panel Cleaning
Black Mesa Thermal Event Insurance Claim,77021,BKLM,,,INBM0724A,Black Mesa Thermal Event
BoP: Elec BoP: Corrective,77031,WLDF,,,WLDF25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,77031,WLDF,,,WLDF25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,77031,WLDF,,,WLDF25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,77031,WLDF,,,WLDF25B004,BoP: Vegetation Management 
BoP: Civil BoP,77031,WLDF,,,WLDF25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,77031,WLDF,,,WLDF25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,77031,WLDF,,,WLDF25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,77031,WLDF,,,WLDF25G006,Preventative Mntce: Site 
Ops Support: Site Specific,77031,WLDF,,,WLDF25G007,Ops Support: Site Specific
Issuance Fee,77031,WLDF,,,WLDF25G008,Issuance Fee
Community Benefit,77031,WLDF,,,WLDF25G009,Community Benefit
NERC Compliance,77031,WLDF,,,WLDF25G010,NERC Compliance
Environmental Compliance,77031,WLDF,,,WLDF25G011,Environmental Compliance
Facilities,77031,WLDF,,,WLDF25G012,Facilities
Information Technology,77031,WLDF,,,WLDF25G013,IT
Light & Heat,77031,WLDF,,,WLDF25G014,Light & Heat
Interconnection Fees,77031,WLDF,,,WLDF25G015,Interconnection Fees
Waste Management,77031,WLDF,,,WLDF25G016,Waste Management
Site Security,77031,WLDF,,,WLDF25G017,Site Security
IT: Telecoms,77031,WLDF,,,WLDF25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,77031,WLDF,,,WLDF25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,77031,WLDF,,,WLDF25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,77031,WLDF,,,WLDF25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,77031,WLDF,,,WLDF25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,77031,WLDF,,,WLDF25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,77031,WLDF,,,WLDF25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,77031,WLDF,,,WLDF25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,77031,WLDF,,,WLDF25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,77038,PIKE,,,PIKE25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,77038,PIKE,,,PIKE25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,77038,PIKE,,,PIKE25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,77038,PIKE,,,PIKE25B004,BoP: Vegetation Management 
BoP: Civil BoP,77038,PIKE,,,PIKE25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,77038,PIKE,,,PIKE25G002,Preventative Mntce: Site Non-Tech
LTSA,77038,PIKE,,,PIKE25G004,LTSA
Solar O&M: Minor Corrective,77038,PIKE,,,PIKE25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,77038,PIKE,,,PIKE25G006,Preventative Mntce: Site 
Ops Support: Site Specific,77038,PIKE,,,PIKE25G007,Ops Support: Site Specific
Issuance Fee,77038,PIKE,,,PIKE25G008,Issuance Fee
Community Benefit,77038,PIKE,,,PIKE25G009,Community Benefit
NERC Compliance,77038,PIKE,,,PIKE25G010,NERC Compliance
Environmental Compliance,77038,PIKE,,,PIKE25G011,Environmental Compliance
Facilities,77038,PIKE,,,PIKE25G012,Facilities
Information Technology,77038,PIKE,,,PIKE25G013,IT
Light & Heat,77038,PIKE,,,PIKE25G014,Light & Heat
Interconnection Fees,77038,PIKE,,,PIKE25G015,Interconnection Fees
Waste Management,77038,PIKE,,,PIKE25G016,Waste Management
Site Security,77038,PIKE,,,PIKE25G017,Site Security
IT: Telecoms,77038,PIKE,,,PIKE25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,77038,PIKE,,,PIKE25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,77038,PIKE,,,PIKE25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,77038,PIKE,,,PIKE25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,77038,PIKE,,,PIKE25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,77038,PIKE,,,PIKE25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,77038,PIKE,,,PIKE25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,77038,PIKE,,,PIKE25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,77038,PIKE,,,PIKE25P004,Modules O&M: Panel Cleaning
Corporate Support,77079,DCS4,,,DCS425G001,Corporate Support
Ops Support: NOT Site Specific,77079,DSOP,,,DSOP25G001,Ops Support: NOT Site Specific
BoP: Elec BoP: Corrective,77086,SPSL,,,SPSL25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,77086,SPSL,,,SPSL25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,77086,SPSL,,,SPSL25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,77086,SPSL,,,SPSL25B004,BoP: Vegetation Management 
BoP: Civil BoP,77086,SPSL,,,SPSL25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,77086,SPSL,,,SPSL25G002,Preventative Mntce: Site Non-Tech
LTSA,77086,SPSL,,,SPSL25G004,LTSA
Solar O&M: Minor Corrective,77086,SPSL,,,SPSL25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,77086,SPSL,,,SPSL25G006,Preventative Mntce: Site 
Ops Support: Site Specific,77086,SPSL,,,SPSL25G007,Ops Support: Site Specific
Issuance Fee,77086,SPSL,,,SPSL25G008,Issuance Fee
Community Benefit,77086,SPSL,,,SPSL25G009,Community Benefit
NERC Compliance,77086,SPSL,,,SPSL25G010,NERC Compliance
Environmental Compliance,77086,SPSL,,,SPSL25G011,Environmental Compliance
Facilities,77086,SPSL,,,SPSL25G012,Facilities
Information Technology,77086,SPSL,,,SPSL25G013,IT
Light & Heat,77086,SPSL,,,SPSL25G014,Light & Heat
Interconnection Fees,77086,SPSL,,,SPSL25G015,Interconnection Fees
Waste Management,77086,SPSL,,,SPSL25G016,Waste Management
Site Security,77086,SPSL,,,SPSL25G017,Site Security
IT: Telecoms,77086,SPSL,,,SPSL25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,77086,SPSL,,,SPSL25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,77086,SPSL,,,SPSL25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,77086,SPSL,,,SPSL25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,77086,SPSL,,,SPSL25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,77086,SPSL,,,SPSL25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,77086,SPSL,,,SPSL25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,77086,SPSL,,,SPSL25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,77086,SPSL,,,SPSL25P004,Modules O&M: Panel Cleaning
Shared Facilities O&M expenses for Pumpjack,75550,PPJK,,,SOPJSF01,OM_Pumpjack Shared Facilities
SoINCPower5 Battleboro Module,75551,BATL,,,BATL24CCAL,SoINCPower5 Battleboro
SoINCPower5 Battleboro Cardinal Cooling Fan,75551,BATL,,,BATL24CCAR,SoINCPower5 Battleboro
SOINC power 6 Improvement ABB Sites Cardinal,75552,SUNB,,,SUNB24CCAR,SOINC power 6 Improvement ABB Sites
Conetoe Solar Cardinal Module Purchase,75553,CONE,,,CONE24CCAR,Conetoe Solar Cardinal
The project scope includes the purchase and installation of the ATI SmarTrack tracking optimization system. SmarTrack is a software based optimization tool that improves plant performance and operation. The SmarTrack algorithm optimizes diffuse light prod,75553,CONE,,,SOCONATIS,CAP_ATI-SmarTrack-Conetoe
This is an insurance claim and a project code is needed for expense tracking,75668,LV03,,,INL30124A,LV3 T64 Thermal Event
The POI change at LV3 are necessary for AEP to execute on an ERCOT- mandated project associated with the State of Texas Lone Star Infrastructure Protection Act.,75668,LV03,,,LV3POITRS,CAP_Los Vientos III POI Upgrade
O&M Building security system,75668,LV03,,,WLV345SEC1,CAP_O&M Security System
Intallation of bat deterrent systems on all LV III turbines,75668,LV03,,,WOLV3BAT,CAP_Install Bat Deterrent Systems
Installation of bat deterrent systems on all LV III turbines,75668,LV03,,,WOLV3BATD,CAP_Install Bat Deterrent Systems
Blade Repairs,75679,CM2W,,,CM2W24M004,Blade Repairs
To bring the existing SCADA system to current standards; and improve efficient control of the Units at the Site; SGRE is proposing to upgrade the WPS; SQL; TCM; WFDI; and HPPP servers with a new cabinet; and refurbishment GMS and updated software.,75683,LV1A,,,LV1ASCADA,CAP LV1A Siemens SCADA Cabinet Ret
Project code request for LV1B T74 Main Bearing Failure - Insurance Spend Tracker,75723,LV1B,,,INL20723A,MM_LV1B T74 Main Bearing Failure
Blade event at WTG-12B; Project code request for insurance claim,75723,LV1B,,,INLVB1122,MM_LOS VIENTOS 1B T12
GE 1.X and 2.X Clamps LC Team,75736,CLCT,,,GECLAM25C,GE 1.X and 2.X Clamps LC Team
SGRE: RATTLESNAKE FLATS,75736,CFST/CGBT/CLCT,,,5125,OM_5125: SGRE: RATTLESNAKE FLATS
Winergy-Fowler,75736,CFST/CGBT/CLCT,,,8654,OM_Winergy-Fowler
WINERGY: ARBOR HILLS,75736,CFST/CGBT/CLCT,,,8857,OM_8857: WINERGY: ARBOR HILLS
WINERGY: MCNIELUS WIND FARM,75736,CFST/CGBT/CLCT,,,8858,OM_8858: WINERGY: MCNIELUS WIND FARM
WINERGY: BUFFALO RIDGE 1,75736,CFST/CGBT/CLCT,,,8859,OM_8859: WINERGY: BUFFALO RIDGE 1
Winergy: Stoney Creek ,75736,CGBT,,,8865.001,Winergy: Stoney Creek 
Winergy: Freeborn ,75736,CGBT,,,8866.001,Winergy: Freeborn 
TOS,75736,CFST/CGBT/CLCT,,,1002,OM_TOS
InfraRed Capital Partners: MEST 2025 OUTAGE,75736,HVLT,,,10301.001,InfraRed Capital Partners: MEST 2025 OUTAGE
Big Blue EOW Inspections,75736,CFST,,,10500,OM_10500: Big Blue EOW Inspections
Big Blue O&M,75736,CFST,,,10501,OM_10501: Big Blue O&M
Palmers Creek Wind,75736,CFST/CGBT/CLCT,,,10520,OM_10520:Palmers Creek Wind
Upside Energy Kokomo,75736,CFST/CGBT/CLCT,,,10900,OM_10900: Upside Energy
First Solar,75736,CFST/CGBT/CLCT,,,1100,OM_First Solar
UPC Power Solutions,75736,CFST/CGBT/CLCT,,,11000,UPC Power Solutions
Sherwood Electromotion,75736,CFST/CGBT/CLCT,,,11200,Sherwood Electromotion
ArcLight Capital Partners,75736,XHOL,,,11300,ArcLight Capital Partners
"Zephyr Repower, LLC                                ",75736,CLCT,,,11400,"Zephyr Repower, LLC                                "
Deepwater Wind Block Island            ,75736,DWCC,,,11500,Deepwater Wind Block Island            
Spruce Mountain                                        ,75736,DWCC,,,11600,Spruce Mountain                                        
Nordex USA                                                     ,75736,DWCC,,,11700,Nordex USA                                                     
OtterTail Power                                              ,75736,CFST/CGBT/CLCT,,,11800,OtterTail Power                                              
"OtterTail Power, Merricourt                    ",75736,CFST/CGBT/CLCT,,,11801,"OtterTail Power, Merricourt                    "
Ottertail Power: Merricourt EOW inspections,75736,CFST,,,11802,Ottertail Power: Merricourt EOW inspections
Clearway Energy: Mt Storm,75736,CFST/CGBT/CLCT,,,12201,Clearway Energy: Mt Storm
Iowa Lakes Electric Cooperative                                              ,75736,CFST/CGBT/CLCT,,,12300,Iowa Lakes Electric Cooperative                                              
ILES: Superior                                           ,75736,CFST/CGBT/CLCT,,,12301,ILEC: Superior                                           
IOWA LAKES: DAKOTA SITE ,75736,CFST,,,12302.001,IOWA LAKES: DAKOTA SITE 
Juwi Americas,75736,CFST/CGBT/CLCT,,,1200,OM_Juwi Americas
GE,75736,CFST/CGBT/CLCT,,,1300,OM_GE
1400: GLYNN RENEWABLES,75736,CFST/CGBT/CLCT,,,1400,OM_GLYNN RENEWABLES
EDP RENEWABLES NORTH AMERICA,75736,CFST/CGBT/CLCT,,,1700,OM_EDP RENEWABLES NORTH AMERICA
1701: EDP: LONE STAR WIND FARM,75736,CFST/CGBT/CLCT,,,1701,OM_1701: EDP: LONE STAR WIND FARM
1702: EDP: MESQUITE,75736,CFST/CGBT/CLCT,,,1702,OM_EDP: MESQUITE
EDP: TWIN GROVES,75736,CFST/CGBT/CLCT,,,1703,OM_EDP: TWIN GROVES
EDPR: WHEAT FIELD,75736,CFST/CGBT/CLCT,,,1704,OM_EDPR: WHEAT FIELD
EDPR: KITTITAS VALLEY,75736,CFST/CGBT/CLCT,,,1705,OM_EDPR: KITTITAS VALLEY
EDPR: MEADOW LAKE IV,75736,CFST/CGBT/CLCT,,,1706,OM_EDPR: MEADOW LAKE IV
1707 EDPR: RATTLESNAKE ROAD Site address: 72650 Rattlesnake Road; Arlington; OR 97812,75736,CFST/CGBT/CLCT,,,1707,OM_1707 EDPR: RATTLESNAKE ROAD
Avangrid Renewables,75736,CFST/CGBT/CLCT,,,1800,OM_AVANGRID RENEWABLES
Avangrid Renewables: Buffalo Ridge,75736,CFST/CGBT/CLCT,,,1801,OM_AVANGRID: BUFFALO RIDGE
Avangrid Renewables: Leaning Juniper,75736,CFST/CGBT/CLCT,,,1802,OM_AVANGRID: LEANING JUNIPER
Avangrid Renewables: Flying Cloud,75736,CFST/CGBT/CLCT,,,1803,OM_AVANGRID:FLYING CLOUD
Avangrid - Lempster,75736,CFST/CGBT/CLCT,,,1805,OM_Avangrid: Lempster
Avangrid - Hardscrabble,75736,CFST/CGBT/CLCT,,,1806,OM_Avangrid: Hardscrabble
Avangrid - Locust Ridge II,75736,CFST/CGBT/CLCT,,,1807,OM_Avangrid: Locust Ridge II
Avangrid - Cayuga Ridge,75736,CFST/CGBT/CLCT,,,1808,OM_Avangrid:Cayuga Ridge
Avangrid - Providence Heights,75736,CFST/CGBT/CLCT,,,1809,OM_Avangrid: Providence Heights
Avangrid - New Harvest,75736,CFST/CGBT/CLCT,,,1810,OM_Avangrid: New Harvest
Avangrid - Farmer City,75736,CFST/CGBT/CLCT,,,1811,OM_Avangrid: Farmer City
Avangrid - Groton,75736,CFST/CGBT/CLCT,,,1812,OM_AVANGRID: GROTON
Avangrid - Blue Creek,75736,CFST/CGBT/CLCT,,,1813,OM_Avangrid: Blue Creek
Avangrid - Barton Chapel,75736,CFST/CGBT/CLCT,,,1814,OM_Avangrid: Barton Chapel
Avangrid - MinnDakota Wind,75736,CFST/CGBT/CLCT,,,1815,OM_Avangrid: MinnDakota Wind
Avangrid - Elk River,75736,CFST/CGBT/CLCT,,,1816,OM_Avangrid - Elk River
Avangrid - Oil Change Campaign,75736,CFST/CGBT/CLCT,,,1817,OM_AVANGRID: OIL CHANGE CAMPAIGN
Avangrid - Klondike 2,75736,CFST/CGBT/CLCT,,,1818,OM_Avangrid: Klondike 2
Avangrid: Casselman,75736,CGBT,,,1819,OM_Avangrid: Casselman
Avangrid: Twin Buttes,75736,CGBT,,,1820,OM_Avangrid: Twin Buttes
Avangrid - Moraine I,75736,CFST/CGBT/CLCT,,,1826,OM_Avangrid - Moraine I
AVANGRID: SHILOH I,75736,CFST/CGBT/CLCT,,,1828,OM_AVANGRID: SHILOH I
AVANGRID: BARTON I & II Site Address: 9740 410th St; Kensett; IA 50448,75736,CFST/CGBT/CLCT,,,1831,OM_AVANGRID: BARTON I & II
Avangrid - Top of Iowa,75736,CFST/CGBT/CLCT,,,1832,OM_Avangrid: Top of Iowa
