Description,Company ID,Location,Account,Department,Project,Project Name
Inverter O&M: Preventative Mntce,75559,SEAB,,,SEAB25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75559,SEAB,,,SEAB25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75559,SEAB,,,SEAB25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75559,SEAB,,,SEAB25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75559,SEAB,,,SEAB25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75559,SEAB,,,SEAB25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75559,SEAB,,,SEAB25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75559,SEAB,,,SEAB25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75560,WOOD,,,WOOD25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75560,WOOD,,,WOOD25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75560,WOOD,,,WOOD25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75560,WOOD,,,WOOD25B004,BoP: Vegetation Management 
BoP: Civil BoP,75560,WOOD,,,WOOD25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75560,WOOD,,,WOOD25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75560,WOOD,,,WOOD25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75560,WOOD,,,WOOD25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75560,WOOD,,,WOOD25G007,Ops Support: Site Specific
Issuance Fee,75560,WOOD,,,WOOD25G008,Issuance Fee
Community Benefit,75560,WOOD,,,WOOD25G009,Community Benefit
Environmental Compliance,75560,WOOD,,,WOOD25G011,Environmental Compliance
Facilities,75560,WOOD,,,WOOD25G012,Facilities
Information Technology,75560,WOOD,,,WOOD25G013,IT
Light & Heat,75560,WOOD,,,WOOD25G014,Light & Heat
Interconnection Fees,75560,WOOD,,,WOOD25G015,Interconnection Fees
Waste Management,75560,WOOD,,,WOOD25G016,Waste Management
Site Security,75560,WOOD,,,WOOD25G017,Site Security
IT: Telecoms,75560,WOOD,,,WOOD25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75560,WOOD,,,WOOD25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75560,WOOD,,,WOOD25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75560,WOOD,,,WOOD25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75560,WOOD,,,WOOD25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75560,WOOD,,,WOOD25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75560,WOOD,,,WOOD25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75560,WOOD,,,WOOD25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75560,WOOD,,,WOOD25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75561,RBS1,,,RBS125B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75561,RBS1,,,RBS125B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75561,RBS1,,,RBS125B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75561,RBS1,,,RBS125B004,BoP: Vegetation Management 
BoP: Civil BoP,75561,RBS1,,,RBS125B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75561,RBS1,,,RBS125G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75561,RBS1,,,RBS125G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75561,RBS1,,,RBS125G006,Preventative Mntce: Site 
Ops Support: Site Specific,75561,RBS1,,,RBS125G007,Ops Support: Site Specific
Issuance Fee,75561,RBS1,,,RBS125G008,Issuance Fee
Community Benefit,75561,RBS1,,,RBS125G009,Community Benefit
NERC Compliance,75561,RBS1,,,RBS125G010,NERC Compliance
Environmental Compliance,75561,RBS1,,,RBS125G011,Environmental Compliance
Facilities,75561,RBS1,,,RBS125G012,Facilities
Information Technology,75561,RBS1,,,RBS125G013,IT
Light & Heat,75561,RBS1,,,RBS125G014,Light & Heat
Interconnection Fees,75561,RBS1,,,RBS125G015,Interconnection Fees
Waste Management,75561,RBS1,,,RBS125G016,Waste Management
Site Security,75561,RBS1,,,RBS125G017,Site Security
IT: Telecoms,75561,RBS1,,,RBS125G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75561,RBS1,,,RBS125I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75561,RBS1,,,RBS125I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75561,RBS1,,,RBS125I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75561,RBS1,,,RBS125M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75561,RBS1,,,RBS125P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75561,RBS1,,,RBS125P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75561,RBS1,,,RBS125P003,Modules O&M: Major Corrective
