Description,Company ID,Location,Department,Project,Account,Account Name
Wood Mackenzie,"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 50%
DWE1: 25%
STRG: 25%",8030,,514301,IT Software
SirionLab-Conga ($90 * 10 users per month),"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
"Nira (MISO, SPP, TVA)","(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 50%
DWE1: 25%
STRG: 25%",8030,,514301,IT Software
GPI Strategies,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSBC,514301,IT Software
RTO Insider,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
EnerKnol (Subscription),"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 30%
DWE1: 30%
STRG: 40%",8030,,514301,IT Software
Pivvot (Subscription),"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 50%
DWE1: 25%
STRG: 25%",8030,,514301,IT Software
PowerDB lite,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Primavera,"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 50%
DWE1: 25%
STRG: 25%",8030,,514301,IT Software
PSCAD,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
PVCAD,"(77079) Deriva Energy Sub I, LLC",DCS4,8030,,514301,IT Software
PVSYST,"(77079) Deriva Energy Sub I, LLC",DCS4,8030,,514301,IT Software
Arc Pro,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Aarc Cad Civil 3D,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
ArcGIS Pro,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Siemens PSSE,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWS,514301,IT Software
SKM Systems Analysis,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
PowerDB Pro,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Articulate license,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
ISNetworld,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Open Meteo (RCC),"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Force5 (CliqKey) (RCC),"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,514301,IT Software
CES WAN XML Data Services ,"(75736) Deriva Energy Services, LLC",DSOL,8030,,513102,Telecom - Telephone
Oracle NetSuite,"(75736) Deriva Energy Services, LLC",DSOL,8035,,514301,IT Software
Caravel (project cost) (one time),"(75736) Deriva Energy Services, LLC",DSOL,8035,DSOLM24018,515200,Consultant Other
Work Day,"(75736) Deriva Energy Services, LLC",DSOL,8035,,514301,IT Software
Work Day - change orders,"(75736) Deriva Energy Services, LLC",DSOL,8035,,515200,Consultant Other
Top Bloc (workday support),"(75736) Deriva Energy Services, LLC",DSOL,8035,,515200,Consultant Other
Karta,"(75736) Deriva Energy Services, LLC",DSOL,8033,,514301,IT Software
Lumen,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,515200,Consultant Other
CGI SOC,"(75736) Deriva Energy Services, LLC",DSOL,8033,,515200,Consultant Other
Tenable,"(75736) Deriva Energy Services, LLC",DSOL,8033,,514301,IT Software
KnowBe4,"(75736) Deriva Energy Services, LLC",DSOL,8033,,514301,IT Software
BDO/DataBrix,"(75736) Deriva Energy Services, LLC",DSOL,8032,,514301,IT Software
Hartigen support for PowerOptix ,"(75736) Deriva Energy Services, LLC",DSOL,8030,,515200,Consultant Other
Curate,"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 50%
DWE1: 25%
STRG: 25%",8030,,514301,IT Software
Fractal,"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 50%
DWE1: 25%
STRG: 25%",8030,,514301,IT Software
New CRM (Hubspot),"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 50%
DWE1: 25%
STRG: 25%",8030,,514301,IT Software
New Project Media (subscription),"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 50%
DWE1: 25%
STRG: 25%",8030,,514301,IT Software
Transmission software (one time setup) (Capital Markets),"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 45%
DWE1: 45%
STRG: 10%",8030,,514301,IT Software
Transmission software cost (Capital Markets),"(77079) Deriva Energy Sub I, LLC
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC","DCS4: 45%
DWE1: 45%
STRG: 10%",8030,,514301,IT Software
Rapid 7 (Vulnerability management external scans of all PortCos),"(75736) Deriva Energy Services, LLC",DSOL,8033,,515200,Consultant Other
Dark Owl (Threat Intelligence program),"(75736) Deriva Energy Services, LLC",DSOL,8033,,515200,Consultant Other
KPMG – Situational awareness and Regulatory reviews ,"(75736) Deriva Energy Services, LLC",DSOL,8033,,515200,Consultant Other
Shodan (vulnerability management),"(75736) Deriva Energy Services, LLC",DSOL,8033,,515200,Consultant Other
Incident Response Retainer with external third-party ,"(75736) Deriva Energy Services, LLC",DSOL,8033,,515200,Consultant Other
Third-party NIST CSF 2.0 Maturity Assessment for Operations ,"(75736) Deriva Energy Services, LLC",DSOL,8033,,515200,Consultant Other
External Disaster Recovery Fire drill ,"(75736) Deriva Energy Services, LLC",DSOL,8033,,515200,Consultant Other
"OneTrust (Third party, Incident Response, Privacy Risk Management)","(75736) Deriva Energy Services, LLC",DSOL,8033,,515200,Consultant Other
Scipher app - LV3,"(75668) Los Vientos Windpower III, LLC",LV03,8030,,514301,IT Software
Scipher app - LV4,"(75801) Los Vientos Windpower IV, LLC",LV04,8030,,514301,IT Software
Scipher app - LV5,"(75808) Los Vientos Windpower V, LLC",LV05,8030,,514301,IT Software
YES Energy,"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
Threads (HR related),"(75736) Deriva Energy Services, LLC",DSOL,8030,,514301,IT Software
,,,,,,
"IT Allocation to Wind, Solar & Battery","(75736) Deriva Energy Services, LLC",DSOL,,DSOLITWSB,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
"IT Allocation to Wind, Solar, Batt & Cntrl Svcs","(75736) Deriva Energy Services, LLC",DSOL,,DSOLITWSBC,"Dependent upon work performed or purchase
Account:
514301: IT Software
514302: IT Hardware
515200: Consultant Other
515220: Consultant Staff Aug",
