,"CFO Groups Charging Guidelines (Underwriting, Treasury, Tax, Risk Mgmt., Office of CFO, Controller, Capital Markets)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"People Soft, Maximo and CAPS (until move to new AP System and IFS)",,,,,,,,,"Concur, Timesheets, Maximo, Basware, IFS",,,,,,,,,
Dept Name,Description,Oper Unit,Bus Unit,Resp Center,Account,Resource Type,Process ID,Project ,Activity,,Company id,Location,Department,Project,Activity,Expense Type,Account,Account Name,Account Group,
Tax,Salaries & Bonus,DSOL,75736,HW60,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,DSOL25G001.100.10,,512101,Salaries and Wages - Regular Hours - Salaried,Salary & Wages,
Tax,Mobile,DSOL,75736,HW60,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,,,Cellular Service (PMD),513105,Telecom - Cellular Service,Communications (IT & Telecoms),
Tax,Training,DSOL,75736,HW60,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,,,Employee Training,517501,Employee Training,Employee Related Expenses,
Tax,Travel,DSOL,75736,HW60,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,,,Other Transportation,517100,Transportation - Other,Travel,
Tax,Parking,DSOL,75736,HW60,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,,,Parking,517102,Transportation - Tolls and Parking,Travel,
Tax,Conferences,DSOL,75736,HW60,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,,,Conferences and Seminars,517400,Conferences and Seminars,Employee Related Expenses,
Tax,Membership,DSOL,75736,HW60,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,,,Memberships,517600,Memberships,Employee Related Expenses,
Tax,Conferences,DSOL,75736,HW60,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,,,Conferences and Seminars,517400,Conferences and Seminars,Employee Related Expenses,
Tax,Contractors,DSOL,75736,HW60,0923000,69000,CONTLAB,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,,,,515220,Consultant- Staff Augmentation,Consultant fees,
Tax,Tax Compliance - KPMG,DSOL,75736,HW60,0903200,69500,OTHTAX,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,,,,515313,Tax Advisory Services,Tax Service fees,
Tax,Tax Consulting - Ad hoc,DSOL,75736,HW60,0903200,69700,OTHTAX,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,,,,515214,Consultant Taxes,Consultant fees,
Tax,BNA Fixed Asset,DSOL,75736,HW60,0920000,69700,OSSERIN,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,,,,515216,Consultant Information Technology,Consultant fees,
Risk Mgmt.,Salaries and Wages ,DSOL,75736,HW61,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,DSOL25G001.100.10,,512101,Salaries and Wages - Regular Hours - Salaried,Salary & Wages,
Risk Mgmt.,Mobile,DSOL,75736,HW61,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,,,Cellular Service (PMD),513105,Telecom - Cellular Service,Communications (IT & Telecoms),
Risk Mgmt.,Training,DSOL,75736,HW61,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,,,Employee Training,517501,Employee Training,Employee Related Expenses,
Risk Mgmt.,Travel,DSOL,75736,HW61,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,,,Other Transportation,517100,Transportation - Other,Travel,
Risk Mgmt.,Parking,DSOL,75736,HW61,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,,,Parking,517102,Transportation - Tolls and Parking,Travel,
Risk Mgmt.,Conferences,DSOL,75736,HW61,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,,,Conferences and Seminars,517400,Conferences and Seminars,Employee Related Expenses,
Risk Mgmt.,Membership,DSOL,75736,HW61,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,,,Memberships,517600,Memberships,Employee Related Expenses,
Risk Mgmt.,Conferences,DSOL,75736,HW61,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,,,Conferences and Seminars,517400,Conferences and Seminars,Employee Related Expenses,
Risk Mgmt.,Contractors,DSOL,75736,HW61,0923000,69000,CONTLAB,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,,,,515220,Consultant- Staff Augmentation,Consultant fees,
