IT Charging Guidelines,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,"Concur, Timesheets, Maximo, Basware, IFS",,,,,,,,,
Description,,Company id,Location,Department,Project,Activity,Expense Type,Account,Account Name,Account Group,
SimpleLegal,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Identiflight - Eagle Imaging,,(75785) Top of the World Wind Energy LLC,TOPW,8030,,,,514301,IT Software,Computer Expenses,
Identiflight - Eagle Imaging,,"(75764) Three Buttes Windpower, LLC",TBWP,8030,,,,514301,IT Software,Computer Expenses,
Identiflight - Eagle Imaging,,"(75940) Ledyard Windpower, LLC",LEDY,8030,,,,514301,IT Software,Computer Expenses,
Identiflight - Eagle Imaging,,"(75880) Frontier Windpower II, LLC",FRN2,8030,,,,514301,IT Software,Computer Expenses,
Poseidon ,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWIND,,,514301,IT Software,Computer Expenses,
Onyx,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWIND,,,514301,IT Software,Computer Expenses,
Vaisala - Revenue Deviation,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,,,514301,IT Software,Computer Expenses,
Milestone,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITSLR,,,514301,IT Software,Computer Expenses,
Milestonem - DataLink,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITSLR,,,514301,IT Software,Computer Expenses,
Structrz.com,,"(75736) Deriva Energy Services, LLC",DCSV,8030,,,,514301,IT Software,Computer Expenses,
Holman,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSBC,,,514301,IT Software,Computer Expenses,
System1 (Adapt.Wind),,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWIND,,,514301,IT Software,Computer Expenses,
"TCM (Gram & Juhl, TCM, TCM Enterprise)",,(75785) Top of the World Wind Energy LLC,TOPW,8030,,,,514301,IT Software,Computer Expenses,
"TCM (Gram & Juhl, TCM, TCM Enterprise)",,"(75865) Laurel Hill Wind Energy, LLC",CLHW,8030,,,,514301,IT Software,Computer Expenses,
"TCM (Gram & Juhl, TCM, TCM Enterprise)",,"(75679) Cimarron Windpower II, LLC",CM2W,8030,,,,514301,IT Software,Computer Expenses,
"TCM (Gram & Juhl, TCM, TCM Enterprise)",,"(75683) Los Vientos Windpower IA, LLC",LV1A,8030,,,,514301,IT Software,Computer Expenses,
"TCM (Gram & Juhl, TCM, TCM Enterprise)",,"(75676) Ironwood Windpower, LLC",IWWP,8030,,,,514301,IT Software,Computer Expenses,
PAS - Procedure Automation System,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,,,514301,IT Software,Computer Expenses,
