LOCATION,LOCATION NAME,COMPANY,PROJECT_ID,NAME,DESCRIPTION,ACTIVITY_SEQ,PLAN_START,PLAN_FINISH,PROGRAM_ID,ACTIVITY_NO,DESCRIPTION,PROJECT_ACTIVITY,,Project (NS),Activity (NS),Activity Desc(NS)
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G012,Facilities,Facilities,100022802,1/1/2025,3/31/2026,OM,10,General,BATL25G012.100.10,2025 load addition,BATLOM,OM703,OM - Facilities
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G013,IT,Information Technology,100022987,1/1/2025,3/31/2026,OM,10,General,BATL25G013.100.10,2025 load addition,BATLOM,OM704,OM - Information Technology
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G014,Light & Heat,Light & Heat,100023075,1/1/2025,3/31/2026,OM,10,General,BATL25G014.100.10,2025 load addition,BATLOM,OM708,OM - Light & Heat
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G015,Interconnection Fees,Interconnection Fees,100022898,1/1/2025,3/31/2026,OM,10,General,BATL25G015.100.10,2025 load addition,BATLOM,OM705,OM - Interconnection Fees
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G016,Waste Management,Waste Management,100023383,1/1/2025,3/31/2026,OM,10,General,BATL25G016.100.10,2025 load addition,BATLOM,OM712,OM - Waste Management
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G017,Site Security,Site Security,100023207,1/1/2025,3/31/2026,OM,10,General,BATL25G017.100.10,2025 load addition,BATLOM,OM711,OM - Site Security
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25G018,IT: Telecoms,IT: Telecoms,100023296,1/1/2025,3/31/2026,OM,10,General,BATL25G018.100.10,2025 load addition,BATLOM,OM707,OM - IT: Telecoms
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25I001,Inverter O&M: Preventative Mntce,Inverter O&M: Preventative Mntce,100022065,1/1/2025,3/31/2026,OM,10,General,BATL25I001.100.10,2025 load addition,BATLOM,OM301,OM - Inverter OM: Preventative Mntce
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25I002,Inverter O&M: Minor Corrective,Inverter O&M: Minor Corrective,100021998,1/1/2025,3/31/2026,OM,10,General,BATL25I002.100.10,2025 load addition,BATLOM,OM302,OM - Inverter OM: Minor Corrective
BATL,"SoINCPower5, LLC (Battleboro)",75551,BATL25I003,Inverter O&M: Major Corrective,Inverter O&M: Major Corrective,100021931,1/1/2025,3/31/2026,OM,10,General,BATL25I003.100.10,2025 load addition,BATLOM,OM303,OM - Inverter OM: Major Corrective
